Date,Open,High,Low,Close,Adj Close
11/1/1994,19929.49023,19929.49023,18666.13086,19075.61914,19075.61914
12/1/1994,19061.21094,19833.2207,18822.56055,19723.06055,19723.06055
1/1/1995,19724.75977,19724.75977,17698.75,18649.82031,18649.82031
2/1/1995,18646.91992,18868.92969,16518.46094,17053.42969,17053.42969
3/1/1995,17017.91016,17161.88086,15424.11035,16139.9502,16139.9502
4/1/1995,16079.63965,17110.40039,15256.05957,16806.75,16806.75
5/1/1995,16820.38086,17189.53906,15292.42969,15436.79004,15436.79004
6/1/1995,15480.57031,16015.92969,14376.08008,14517.40039,14517.40039
7/1/1995,14519.40039,17018.34961,14295.90039,16677.5293,16677.5293
8/1/1995,16644.74023,18299.71094,16274.33984,18117.2207,18117.2207
9/1/1995,18053.24023,18847.89063,17503.35938,17913.06055,17913.06055
10/1/1995,17921.38086,18547.42969,17337.18945,17654.64063,17654.64063
11/1/1995,17622.66016,18846.75,17408.92969,18744.41992,18744.41992
12/1/1995,18752.18945,20023.51953,18695.89063,19868.15039,19868.15039
1/1/1996,19945.67969,21021.63086,19945.67969,20812.74023,20812.74023
2/1/1996,20806.35938,21156.76953,19878.91016,20125.36914,20125.36914
3/1/1996,20093.7793,21486.33008,19627.57031,21406.84961,21406.84961
4/1/1996,21451.07031,22347.86914,21349.67969,22041.30078,22041.30078
5/1/1996,22030.75,22311.28906,21170.7207,21956.18945,21956.18945
6/1/1996,21970.56055,22750.69922,21588.51953,22530.75,22530.75
7/1/1996,22568.42969,22600.08008,20627.60938,20692.83008,20692.83008
8/1/1996,20665.18945,21398.00977,20092.24023,20166.90039,20166.90039
9/1/1996,20186.59961,21603.91016,19920.01953,21556.40039,21556.40039
10/1/1996,21532.53906,21788.58008,20449.99023,20466.85938,20466.85938
11/1/1996,20498,21460.57031,20388.09961,21020.35938,21020.35938
12/1/1996,21034.93945,21067.67969,18819.91992,19361.34961,19361.34961
1/1/1997,19364.24023,19500.90039,17019.56055,18330.00977,18330.00977
2/1/1997,18307.94922,19229.49023,17792.4707,18557,18557
3/1/1997,18517.16992,18750.25,17616.78906,18003.40039,18003.40039
4/1/1997,17934.78906,19194.82031,17447.64063,19151.11914,19151.11914
5/1/1997,19232.32031,20612.25977,19187.7207,20068.81055,20068.81055
6/1/1997,20083.50977,20910.78906,20040.69922,20604.96094,20604.96094
7/1/1997,20561.56055,20698.66992,19495.84961,20331.42969,20331.42969
8/1/1997,20344.63086,20399.14063,17973.90039,18229.41992,18229.41992
9/1/1997,18215.2207,18775.08008,17563.66016,17887.71094,17887.71094
10/1/1997,17820.38086,17936.85938,16082.32031,16458.93945,16458.93945
11/1/1997,16494.00977,17006.08984,14966.12988,16636.25977,16636.25977
12/1/1997,16593.50977,17117.7793,14488.20996,15258.74023,15258.74023
1/1/1998,15268.92969,17352.94922,14546.25,16628.4707,16628.4707
2/1/1998,16685.00977,17256.24023,15932.46973,16831.66992,16831.66992
3/1/1998,16901,17352.34961,16178.21973,16527.16992,16527.16992
4/1/1998,16433.36914,16623.7793,15334.46973,15641.25977,15641.25977
5/1/1998,15656.13965,15972.87988,15020.04981,15670.78027,15670.78027
6/1/1998,15670.73047,15830.46973,14614.74023,15830.26953,15830.26953
7/1/1998,15852.09961,16756.89063,15739.75977,16378.96973,16378.96973
8/1/1998,16303.59961,16303.59961,13792.75977,14107.88965,14107.88965
9/1/1998,13979.82031,15294.25977,13406.38965,13406.38965,13406.38965
10/1/1998,13377.24023,14742.44043,12787.90039,13564.50977,13564.50977
11/1/1998,13648.28027,15320.23047,13648.28027,14883.7002,14883.7002
12/1/1998,14821.53027,15011.08984,13657.03027,13842.16992,13842.16992
1/1/1999,13779.04981,14628.87988,13122.61035,14499.25,14499.25
2/1/1999,14544.12012,14641.41016,13769.25,14367.54004,14367.54004
3/1/1999,14362.86035,16437.23047,13921.05957,15836.58984,15836.58984
4/1/1999,15868.04981,17166.06055,15813.41016,16701.5293,16701.5293
5/1/1999,16762.7793,17300.60938,15886.62012,16111.65039,16111.65039
6/1/1999,16090.15039,17958.33984,16026.9502,17529.74023,17529.74023
7/1/1999,17607.59961,18623.15039,17367.08008,17861.85938,17861.85938
8/1/1999,17827.24023,18397.92969,17040.7207,17436.56055,17436.56055
9/1/1999,17479.57031,17988.58984,16652.03906,17605.46094,17605.46094
10/1/1999,17589.73047,18228.39063,17178.4707,17942.08008,17942.08008
11/1/1999,17982.39063,19036.08008,17857.10938,18558.23047,18558.23047
12/1/1999,18563.25977,18960.33008,18006.32031,18934.33984,18934.33984
1/1/2000,18937.44922,19595.83008,18068.09961,19539.69922,19539.69922
2/1/2000,19536.67969,20046.14063,19266.96094,19959.51953,19959.51953
3/1/2000,20030.08008,20809.78906,18765.88086,20337.32031,20337.32031
4/1/2000,20327.78906,20833.21094,17926.42969,17973.69922,17973.69922
5/1/2000,17979.25,18586.16016,15870.25,16332.4502,16332.4502
6/1/2000,16320.08008,17511.32031,16289.91992,17411.05078,17411.05078
7/1/2000,17451.65039,17661.10938,15394.70996,15727.49023,15727.49023
8/1/2000,15784.59961,17210.80078,15557.33008,16861.25977,16861.25977
9/1/2000,16915.03906,17018.51953,15621.87988,15747.25977,15747.25977
10/1/2000,15735.70996,16192.78027,14333.16016,14539.59961,14539.59961
11/1/2000,14557.4502,15602.38965,14172.63965,14648.50977,14648.50977
12/1/2000,14600.53027,15273.40039,13182.50977,13785.69043,13785.69043
1/1/2001,13898.08984,14186.62012,13123.80957,13843.54981,13843.54981
2/1/2001,13740.91992,13862.29004,12784.16992,12883.54004,12883.54004
3/1/2001,12811.51953,13867.58008,11433.87988,12999.7002,12999.7002
4/1/2001,13057.65039,14099.49023,12579.55957,13934.32031,13934.32031
5/1/2001,14096.32031,14556.11035,13216.57031,13262.13965,13262.13965
6/1/2001,13365.08008,13510.7002,12511.66016,12969.04981,12969.04981
7/1/2001,12929.66016,12929.66016,11531.67969,11860.76953,11860.76953
8/1/2001,11920.63965,12407.37012,10684.16016,10713.50977,10713.50977
9/1/2001,10729.59961,10812.88965,9382.950195,9774.679688,9774.679688
10/1/2001,9766.75,11052.00977,9604.089844,10366.33984,10366.33984
11/1/2001,10430.58984,11186.75,9955.089844,10697.44043,10697.44043
12/1/2001,10694.65039,11052.50977,10170.90039,10542.62012,10542.62012
1/1/2002,10631,10979.91992,9843.120117,9997.799805,9997.799805
2/1/2002,10026.95996,10798.66992,9420.849609,10587.83008,10587.83008
3/1/2002,10641.36035,12034.04004,10540.30957,11024.94043,11024.94043
4/1/2002,11106.07031,11812.99023,10896.12012,11492.54004,11492.54004
5/1/2002,11540.08984,12081.42969,11250.86035,11763.7002,11763.7002
6/1/2002,11804.04004,11905.16016,10060.71973,10621.83984,10621.83984
7/1/2002,10655,11050.69043,9547.849609,9877.94043,9877.94043
8/1/2002,9912.589844,10162.29981,9439.410156,9619.299805,9619.299805
9/1/2002,9564.900391,9884.599609,8969.259766,9383.290039,9383.290039
10/1/2002,9289.530273,9293.860352,8197.219727,8640.480469,8640.480469
11/1/2002,8651.669922,9294.099609,8246.530273,9215.55957,9215.55957
12/1/2002,9208.610352,9320.110352,8256.519531,8578.950195,8578.950195
1/1/2003,8669.889648,8829.05957,8237.030273,8339.94043,8339.94043
2/1/2003,8285.549805,8821.30957,8253.759766,8363.040039,8363.040039
3/1/2003,8397.150391,8509.429688,7824.819824,7972.709961,7972.709961
4/1/2003,7907.129883,8249.980469,7603.759766,7831.419922,7831.419922
5/1/2003,7804.029785,8461.730469,7745.689941,8424.509766,8424.509766
6/1/2003,8490.219727,9188.950195,8488.889648,9083.110352,9083.110352
7/1/2003,9097.610352,10070.11035,9078.740234,9563.209961,9563.209961
8/1/2003,9646.660156,10415.53027,9224.049805,10343.54981,10343.54981
9/1/2003,10399.53027,11160.19043,10148.36035,10219.04981,10219.04981
10/1/2003,10232.57031,11238.62988,10173.54004,10559.58984,10559.58984
